E387
  1.000000  0.000000
  0.999605  0.000054
  0.998419  0.000218
  0.996446  0.000493
  0.993688  0.000883
  0.990149  0.001393
  0.985835  0.002028
  0.980752  0.002791
  0.974910  0.003687
  0.968317  0.004716
  0.960983  0.005879
  0.952920  0.007175
  0.944141  0.008598
  0.934660  0.010144
  0.924492  0.011805
  0.913652  0.013575
  0.902158  0.015446
  0.890029  0.017410
  0.877282  0.019461
  0.863939  0.021595
  0.850021  0.023808
  0.835549  0.026096
  0.820547  0.028459
  0.805038  0.030895
  0.789046  0.033403
  0.772597  0.035981
  0.755718  0.038625
  0.738434  0.041329
  0.720773  0.044085
  0.702763  0.046882
  0.684432  0.049704
  0.665810  0.052536
  0.646925  0.055357
  0.627808  0.058145
  0.608489  0.060876
  0.588999  0.063527
  0.569368  0.066072
  0.549627  0.068487
  0.529808  0.070748
  0.509941  0.072832
  0.490059  0.074718
  0.470192  0.076386
  0.450373  0.077818
  0.430632  0.079000
  0.411001  0.079916
  0.391511  0.080557
  0.372192  0.080914
  0.353075  0.080981
  0.334190  0.080757
  0.315568  0.080243
  0.297237  0.079443
  0.279227  0.078368
  0.261566  0.077030
  0.244282  0.075444
  0.227403  0.073628
  0.210954  0.071603
  0.194962  0.069390
  0.179453  0.067009
  0.164451  0.064480
  0.149979  0.061818
  0.136061  0.059037
  0.122718  0.056147
  0.109971  0.053153
  0.097842  0.050058
  0.086348  0.046863
  0.075508  0.043568
  0.065340  0.040175
  0.055859  0.036689
  0.047080  0.033121
  0.039017  0.029490
  0.031683  0.025824
  0.025090  0.022161
  0.019248  0.018549
  0.014165  0.015045
  0.009851  0.011715
  0.006312  0.008627
  0.003554  0.005850
  0.001581  0.003450
  0.000395  0.001486
  0.000000  0.000000
  0.000395  -0.003041
  0.001581  -0.005602
  0.003554  -0.007727
  0.006312  -0.009469
  0.009851  -0.010887
  0.014165  -0.012044
  0.019248  -0.012995
  0.025090  -0.013792
  0.031683  -0.014472
  0.039017  -0.015067
  0.047080  -0.015593
  0.055859  -0.016056
  0.065340  -0.016457
  0.075508  -0.016788
  0.086348  -0.017036
  0.097842  -0.017192
  0.109971  -0.017242
  0.122718  -0.017182
  0.136061  -0.017007
  0.149979  -0.016721
  0.164451  -0.016330
  0.179453  -0.015846
  0.194962  -0.015285
  0.210954  -0.014662
  0.227403  -0.013994
  0.244282  -0.013297
  0.261566  -0.012584
  0.279227  -0.011865
  0.297237  -0.011145
  0.315568  -0.010430
  0.334190  -0.009718
  0.353075  -0.009007
  0.372192  -0.008296
  0.391511  -0.007580
  0.411001  -0.006859
  0.430632  -0.006131
  0.450373  -0.005397
  0.470192  -0.004663
  0.490059  -0.003934
  0.509941  -0.003217
  0.529808  -0.002522
  0.549627  -0.001857
  0.569368  -0.001230
  0.588999  -0.000648
  0.608489  -0.000116
  0.627808  0.000363
  0.646925  0.000791
  0.665810  0.001167
  0.684432  0.001497
  0.702763  0.001785
  0.720773  0.002036
  0.738434  0.002254
  0.755718  0.002445
  0.772597  0.002611
  0.789046  0.002752
  0.805038  0.002869
  0.820547  0.002960
  0.835549  0.003022
  0.850021  0.003051
  0.863939  0.003044
  0.877282  0.003000
  0.890029  0.002917
  0.902158  0.002794
  0.913652  0.002636
  0.924492  0.002444
  0.934660  0.002226
  0.944141  0.001988
  0.952920  0.001738
  0.960983  0.001484
  0.968317  0.001234
  0.974910  0.000995
  0.980752  0.000774
  0.985835  0.000575
  0.990149  0.000402
  0.993688  0.000259
  0.996446  0.000146
  0.998419  0.000065
  0.999605  0.000016
  1.000000  0.000000
